idx1,idx2,Lat,Lon,Label,Name
4,4,39.66,45.0,15,other_land
5,4,39.98,44.58,15,other_land
6,4,40.3,44.15,15,other_land
7,4,40.62,43.72,15,other_land
8,4,40.94,43.28,15,other_land
9,4,41.25,42.83,15,other_land
10,4,41.57,42.38,15,other_land
11,4,41.88,41.92,15,other_land
12,4,42.19,41.46,14,other_sea
13,4,42.49,40.98,14,other_sea
14,4,42.8,40.5,14,other_sea
15,4,43.1,40.02,14,other_sea
16,4,43.4,39.52,14,other_sea
17,4,43.7,39.02,14,other_sea
18,4,43.99,38.52,14,other_sea
19,4,44.29,38.0,14,other_sea
20,4,44.58,37.48,14,other_sea
21,4,44.86,36.95,14,other_sea
22,4,45.15,36.41,15,other_land
23,4,45.43,35.87,15,other_land
24,4,45.71,35.31,14,other_sea
25,4,45.98,34.75,14,other_sea
26,4,46.25,34.19,15,other_land
27,4,46.52,33.61,15,other_land
28,4,46.78,33.03,15,other_land
29,4,47.04,32.44,15,other_land
30,4,47.3,31.84,15,other_land
31,4,47.55,31.23,15,other_land
32,4,47.8,30.61,15,other_land
33,4,48.05,29.99,15,other_land
34,4,48.29,29.36,15,other_land
35,4,48.52,28.72,15,other_land
36,4,48.75,28.08,15,other_land
37,4,48.98,27.42,15,other_land
38,4,49.2,26.76,15,other_land
39,4,49.42,26.09,15,other_land
40,4,49.63,25.41,15,other_land
41,4,49.84,24.73,15,other_land
42,4,50.04,24.03,15,other_land
43,4,50.24,23.33,15,other_land
44,4,50.43,22.62,15,other_land
45,4,50.62,21.91,15,other_land
46,4,50.8,21.19,15,other_land
47,4,50.98,20.46,15,other_land
48,4,51.15,19.72,15,other_land
49,4,51.31,18.98,15,other_land
50,4,51.47,18.23,15,other_land
51,4,51.62,17.47,15,other_land
52,4,51.77,16.71,15,other_land
53,4,51.91,15.94,15,other_land
54,4,52.04,15.16,15,other_land
55,4,52.17,14.38,15,other_land
56,4,52.29,13.59,15,other_land
57,4,52.4,12.8,15,other_land
58,4,52.51,12.0,15,other_land
59,4,52.61,11.2,15,other_land
60,4,52.7,10.4,15,other_land
61,4,52.79,9.59,15,other_land
62,4,52.87,8.77,15,other_land
63,4,52.94,7.95,15,other_land
64,4,53.01,7.13,15,other_land
65,4,53.07,6.31,15,other_land
66,4,53.12,5.48,15,other_land
67,4,53.16,4.65,14,other_sea
68,4,53.2,3.82,14,other_sea
69,4,53.23,2.99,14,other_sea
70,4,53.25,2.16,14,other_sea
71,4,53.27,1.32,14,other_sea
72,4,53.27,0.49,14,other_sea
73,4,53.27,-0.35,15,other_land
74,4,53.27,-1.18,15,other_land
75,4,53.25,-2.02,15,other_land
76,4,53.23,-2.85,15,other_land
77,4,53.2,-3.68,15,other_land
78,4,53.17,-4.52,14,other_sea
79,4,53.12,-5.35,14,other_sea
80,4,53.07,-6.17,15,other_land
81,4,53.02,-7.0,15,other_land
82,4,52.95,-7.82,15,other_land
83,4,52.88,-8.64,15,other_land
84,4,52.8,-9.45,15,other_land
85,4,52.72,-10.26,14,other_sea
86,4,52.62,-11.07,14,other_sea
87,4,52.53,-11.87,14,other_sea
88,4,52.42,-12.67,14,other_sea
89,4,52.31,-13.46,14,other_sea
90,4,52.19,-14.25,14,other_sea
91,4,52.06,-15.03,14,other_sea
92,4,51.93,-15.81,14,other_sea
93,4,51.79,-16.58,14,other_sea
94,4,51.65,-17.34,14,other_sea
95,4,51.5,-18.1,14,other_sea
96,4,51.34,-18.85,14,other_sea
97,4,51.18,-19.6,14,other_sea
98,4,51.01,-20.33,14,other_sea
99,4,50.83,-21.07,14,other_sea
100,4,50.65,-21.79,14,other_sea
101,4,50.47,-22.51,14,other_sea
102,4,50.27,-23.22,14,other_sea
103,4,50.08,-23.92,14,other_sea
104,4,49.88,-24.61,14,other_sea
105,4,49.67,-25.3,14,other_sea
106,4,49.46,-25.98,14,other_sea
107,4,49.24,-26.65,14,other_sea
108,4,49.02,-27.31,14,other_sea
109,4,48.79,-27.97,14,other_sea
110,4,48.56,-28.62,14,other_sea
111,4,48.33,-29.26,14,other_sea
112,4,48.09,-29.89,14,other_sea
113,4,47.84,-30.51,14,other_sea
114,4,47.59,-31.13,14,other_sea
115,4,47.34,-31.74,14,other_sea
116,4,47.09,-32.34,14,other_sea
117,4,46.83,-32.93,14,other_sea
118,4,46.56,-33.51,14,other_sea
119,4,46.3,-34.09,14,other_sea
120,4,46.03,-34.66,14,other_sea
121,4,45.75,-35.22,14,other_sea
122,4,45.47,-35.77,14,other_sea
123,4,45.19,-36.32,14,other_sea
124,4,44.91,-36.86,14,other_sea
125,4,44.62,-37.39,14,other_sea
126,4,44.34,-37.91,14,other_sea
127,4,44.04,-38.43,14,other_sea
128,4,43.75,-38.94,14,other_sea
129,4,43.45,-39.44,14,other_sea
130,4,43.15,-39.94,14,other_sea
131,4,42.85,-40.42,14,other_sea
132,4,42.54,-40.9,14,other_sea
133,4,42.24,-41.38,14,other_sea
134,4,41.93,-41.84,14,other_sea
135,4,41.62,-42.3,14,other_sea
136,4,41.3,-42.76,14,other_sea
137,4,40.99,-43.21,14,other_sea
138,4,40.67,-43.65,14,other_sea
139,4,40.35,-44.08,14,other_sea
140,4,40.03,-44.51,14,other_sea
141,4,39.71,-44.93,14,other_sea
142,4,39.39,-45.35,14,other_sea
143,4,39.06,-45.76,14,other_sea
144,4,38.74,-46.16,14,other_sea
145,4,38.41,-46.56,14,other_sea
1,5,39.0,46.65,15,other_land
2,5,39.33,46.24,15,other_land
3,5,39.65,45.84,15,other_land
4,5,39.98,45.42,15,other_land
5,5,40.31,45.0,15,other_land
6,5,40.63,44.57,15,other_land
7,5,40.95,44.14,15,other_land
8,5,41.27,43.7,15,other_land
9,5,41.59,43.25,15,other_land
10,5,41.91,42.8,15,other_land
11,5,42.22,42.34,15,other_land
12,5,42.53,41.87,15,other_land
13,5,42.85,41.4,15,other_land
14,5,43.15,40.92,15,other_land
15,5,43.46,40.43,15,other_land
16,5,43.76,39.94,15,other_land
17,5,44.06,39.44,15,other_land
18,5,44.36,38.93,15,other_land
19,5,44.66,38.41,15,other_land
20,5,44.95,37.88,15,other_land
21,5,45.24,37.35,15,other_land
22,5,45.53,36.81,14,other_sea
23,5,45.81,36.27,14,other_sea
24,5,46.1,35.71,14,other_sea
25,5,46.37,35.15,15,other_land
26,5,46.65,34.58,15,other_land
27,5,46.92,34.0,15,other_land
28,5,47.19,33.41,15,other_land
29,5,47.45,32.82,15,other_land
